,punkt,,,,,,,,,,,,,,,,lan_m9_rtk,lan_m9_eimts,,,,vlans,,
ГК 121 заявка № 1,1695,Московская область,"Московская область, Ногинский район, г. Электроугли, пл. Октября, 4",Флекс,r050-s0172,ГАПОУ Московской обл. «Подмосковный колледж «Энергия»,10.223.36.40/29,10.223.36.43,10.50.140.0/24,10.50.140.1,172.22.72.80/28,172.22.72.81,10.19.54.212/30,10.19.54.213,10.19.54.214,10.205.5.88/30,10.205.5.89,10.205.5.90,10.205.5.92/30,10.205.5.93,10.205.5.94,272,,ранее ГК 0410/056 заявка № 7
ГК 121 заявка № 1,1696,Московская область,"Московская область, г. Ивантеевка, ул. Заречная, 3",ИТКМ,r050-s0366,ГАПОУ Московской обл. «Межрегиональный центр компетенций – Техникум им. С.П. Королева»,10.223.42.152/29,10.223.42.155,10.90.46.0/24,10.90.46.1,172.22.85.48/28,172.22.85.49,10.19.57.220/30,10.19.57.221,10.19.57.222,10.205.11.104/30,10.205.11.105,10.205.11.106,10.205.11.108/30,10.205.11.109,10.205.11.110,466,,ранее ГК 0410/056 заявка № 7
ГК 121 заявка № 1,1697,Московская область,"141100, Московская область, г. Щёлково, ул. Талсинская, д. 10",ФГИЦ,r050-s1827,"ГБПОУ Московской обл. ""Щелковский колледж""",10.229.17.176/29,10.229.17.179,10.179.35.0/24,10.179.35.1,172.30.35.112/28,172.30.35.113,10.19.166.56/30,10.19.166.57,10.19.166.58,10.205.57.8/30,10.205.57.9,10.205.57.10,10.205.57.12/30,10.205.57.13,10.205.57.14,1926,,ранее ГК 0410/056 заявка № 7
ГК 121 заявка № 1,1698,Московская область,"Московская обл., г. Балашиха, мкр-н Железнодорожный, ул. Автозаводская, д.48А",АБН,r050-s0118,Государственное автономное профессиональное образовательное учреждение Московской области «Подмосковный колледж «Энергия»,10.223.34.96/29,10.223.34.99,10.50.95.0/24,10.50.95.1,172.22.68.192/28,172.22.68.193,10.19.53.252/30,10.19.53.253,10.19.53.254,10.205.3.168/30,10.205.3.169,10.205.3.170,10.205.3.172/30,10.205.3.173,10.205.3.174,218,,Новое
ГК 121 заявка № 6,1699,Московская область,"141600, Московская область, г. Клин, ул. Папивина, д. 22/2",Гигалинк (Зеталинк),r050-s0398,"Государственное бюджетное профессиональное образовательное учреждение Московской области ""Колледж ""Подмосковье""",10.223.43.176/29,10.223.43.179,10.90.69.0/24,10.90.69.1,172.22.87.96/28,172.22.87.97,10.19.58.92/30,10.19.58.93,10.19.58.94,10.205.12.104/30,10.205.12.105,10.205.12.106,10.205.12.108/30,10.205.12.109,10.205.12.110,498,,Новое
ГК 121 заявка № 6,1700,Московская область,"1141140, Московская область, г. Щелково, ул. Малопролетарская, д. 28","ПАО ""Ростелеком""",r050-s1824,"Государственное бюджетное профессиональное образовательное учреждение Московской области ""Щелковский колледж""",10.229.17.152/29,10.229.17.155,10.179.32.0/24,10.179.32.1,172.30.35.64/28,172.30.35.65,10.19.166.44/30,10.19.166.45,10.19.166.46,10.205.56.240/30,10.205.56.241,10.205.56.242,10.205.56.244/30,10.205.56.245,10.205.56.246,1923,,Новое
ГК 121 заявка № 6,1701,Московская область,"Московская область, г. Красногорск, мкр. Опалиха, ул. Пришвина д.10",ЛК-Телеком,r050-s1862,Муниципального бюджетного общеобразовательного учреждения Опалиховская гимназия ,10.229.97.128/29,10.229.97.131,10.179.136.0/24,10.179.136.1,172.30.195.48/28,172.30.195.49,10.19.167.204/30,10.19.167.205,10.19.167.206,10.205.58.24/30,10.205.58.25,10.205.58.26,10.205.58.28/30,10.205.58.29,10.205.58.30,1961,,Новое
ГК 121 заявка № 6,1702,Московская область,"Московская область, г. Можайск, ул. Александра Триполитова, д. 1",Голицыно Телеком,r050-s1861,Муниципальное общеобразовательное учреждение Гимназия № 4 г. Можайска,10.229.97.48/29,10.229.97.51,10.179.135.0/24,10.179.135.1,172.30.194.144/28,172.30.194.145,10.19.167.196/30,10.19.167.197,10.19.167.198,10.205.58.16/30,10.205.58.17,10.205.58.18,10.205.58.20/30,10.205.58.21,10.205.58.22,1960,,Новое
ГК 121 заявка № 6,1703,Московская область,"Московская область, г.о. Богородский, г Ногинск, ул Климова, д. 47Б",Флекс,r050-s1797,"Муниципальное бюджетное общеобразовательное учреждение ""Центр образования №21""",10.228.188.208/29,10.228.188.211,10.160.69.0/24,10.160.69.1,172.29.121.160/28,172.29.121.161,10.19.159.164/30,10.19.159.165,10.19.159.166,10.205.56.24/30,10.205.56.25,10.205.56.26,10.205.56.28/30,10.205.56.29,10.205.56.30,1899,,Новое
ГК 121 заявка № 6,1704,Московская область,"Московская область, городской округ Балашиха, г.Балашиха, мкр.Новое Павлино, ш.Косинское, д.3",-,r050-s1864,"Муниципальное бюджетное общеобразовательное учреждение Городского округа Балашиха ""Средняя общеобразовательная школа №12"" ",10.229.99.176/29,10.229.99.179,10.179.142.0/24,10.179.142.1,172.30.199.144/28,172.30.199.145,10.19.167.244/30,10.19.167.245,10.19.167.246,10.205.58.40/30,10.205.58.41,10.205.58.42,10.205.58.44/30,10.205.58.45,10.205.58.46,1963,,Новое
ГК 121 заявка № 6,1705,Московская область,"Московская область, городской округ Балашиха, г.Балашиха, ул.Реутовская, д.16",-,r050-s1865,"Муниципальное бюджетное общеобразовательное учреждение Городского округа Балашиха ""Средняя общеобразовательная школа №32"" ",10.229.99.184/29,10.229.99.187,10.179.143.0/24,10.179.143.1,172.30.199.160/28,172.30.199.161,10.19.167.248/30,10.19.167.249,10.19.167.250,10.205.58.48/30,10.205.58.49,10.205.58.50,10.205.58.52/30,10.205.58.53,10.205.58.54,1964,,Новое
